s.no,cpu_times_user,cpu_times_nice,cpu_times_system,cpu_times_idle,cpu_times_iowait,cpu_times_irq,cpu_times_softirq,cpu_times_steal,cpu_times_guest,cpu_times_guest_nice,cpu_percent,cpu_count,cpu_stats_ctx_switches,cpu_stats_interrupts,cpu_soft_interrupts,cpu_syscalls,cpu_freq,cpu_loadavg,virtual_mem_total,virtual_mem_available,virtual_mem_percent,virtual_mem_used,virtual_mem_free,virtual_mem_active,virtual_mem_inactive,virtual_mem_buffers,virtual_mem_cached,virtual_mem_shared,virtual_mem_slab,swap_mem_total,swap_mem_used,swap_mem_free,swap_percent,swap_sin,swap_sout,disk_read_count,disk_write_count,disk_read_bytes,disk_write_bytes,disk_read_time,disk_write_time,disk_read_merged_count,disk_write_merged_count,disk_busy_count
36,325.03,10.83,29.36,7810.81,193.24,0,0.54,0,0,0,83.8,1,2626057,1060637,346011,0,2592,0.08,2072051712,872308736,57.9,1022017536,610369536,439083008,858681344,26173440,413491200,26030080,89665536,470282240,424259584,46022656,90.2,40755200,495980544,59518,15196,2158599680,1280893952,477511,455356,19466,121626,265632
37,325.04,10.83,29.37,7812.79,193.24,0,0.54,0,0,0,2,1,2626502,1060878,346086,0,2592,0.08,2072051712,872308736,57.9,1022013440,610369536,439083008,858681344,26181632,413487104,26030080,89665536,470282240,424259584,46022656,90.2,40755200,495980544,59518,15198,2158599680,1280906240,477511,455360,19466,121627,265640
38,325.06,10.83,29.37,7814.76,193.24,0,0.54,0,0,0,2,1,2626890,1061068,346150,0,2592,0.08,2072051712,872308736,57.9,1022005248,610369536,439083008,858681344,26181632,413495296,26030080,89665536,470282240,424259584,46022656,90.2,40755200,495980544,59518,15198,2158599680,1280906240,477511,455360,19466,121627,265640
39,325.07,10.83,29.37,7816.74,193.24,0,0.54,0,0,0,1,1,2627305,1061295,346219,0,2592,0.07,2072051712,868126720,58.1,1026199552,606175232,439091200,858710016,26181632,413495296,26030080,89665536,470282240,424259584,46022656,90.2,40755200,495980544,59518,15198,2158599680,1280906240,477511,455360,19466,121627,265640
40,325.08,10.83,29.37,7818.71,193.24,0,0.54,0,0,0,1,1,2627744,1061507,346295,0,2592,0.07,2072051712,868126720,58.1,1026199552,606175232,439091200,858710016,26189824,413487104,26030080,89665536,470282240,424259584,46022656,90.2,40755200,495980544,59518,15200,2158599680,1280918528,477511,455363,19466,121628,265644
41,325.3,10.83,29.37,7820.49,193.24,0,0.54,0,0,0,21.8,1,2628772,1061991,346402,0,2592,0.07,2072051712,925593600,55.3,968732672,663633920,439099392,793591808,26189824,413495296,26030080,89665536,470282240,424259584,46022656,90.2,40755200,495980544,59518,15200,2158599680,1280918528,477511,455363,19466,121628,265644
42,326.75,10.83,29.41,7821,193.25,0,0.54,0,0,0,49,1,2631212,1062340,346498,0,2592,0.15,2072051712,925601792,55.3,968724480,663633920,439107584,793690112,26198016,413495296,26030080,89665536,470282240,424259584,46022656,90.2,40755200,495980544,59518,15204,2158599680,1280971776,477511,455371,19466,121637,265660
43,326.78,10.83,29.42,7822.94,193.27,0,0.54,0,0,0,4,1,2631933,1062599,346624,0,2592,0.15,2072051712,924602368,55.4,969711616,662609920,439128064,794763264,26214400,413515776,26034176,89796608,470282240,424259584,46022656,90.2,40755200,495980544,59518,15211,2158599680,1281086464,477511,455412,19466,121659,265712
44,326.79,10.83,29.42,7824.91,193.27,0,0.54,0,0,0,1,1,2632337,1062823,346692,0,2592,0.29,2072051712,916213760,55.8,978100224,654221312,439128064,794771456,26214400,413515776,26034176,89796608,470282240,424259584,46022656,90.2,40755200,495980544,59518,15211,2158599680,1281086464,477511,455412,19466,121659,265712
45,326.81,10.83,29.43,7826.89,193.27,0,0.54,0,0,0,2,1,2632829,1063093,346773,0,2592,0.29,2072051712,916213760,55.8,978092032,654221312,439128064,794783744,26222592,413515776,26034176,89796608,470282240,424259584,46022656,90.2,40775680,495980544,59522,15213,2158620160,1281111040,477513,455416,19467,121663,265724
46,326.83,10.83,29.43,7828.86,193.27,0,0.54,0,0,0,2,1,2633246,1063296,346835,0,2592,0.29,2072051712,916213760,55.8,978092032,654221312,439128064,794783744,26222592,413515776,26034176,89796608,470282240,424259584,46022656,90.2,40775680,495980544,59522,15213,2158620160,1281111040,477513,455416,19467,121663,265724
47,327.38,10.83,29.44,7830.3,193.27,0,0.54,0,0,0,55,1,2634470,1063926,346959,0,2592,0.27,2072051712,847314944,59.1,1046999040,585314304,439136256,882360320,26222592,413515776,26034176,89796608,470282240,424259584,46022656,90.2,40775680,495980544,59522,15215,2158620160,1281119232,477513,455416,19467,121663,265728
48,328.7,10.83,29.45,7830.95,193.27,0,0.54,0,0,0,33.7,1,2637363,1064280,347149,0,2592,0.27,2072051712,847323136,59.1,1046994944,585314304,439156736,881324032,26230784,413511680,26030080,89796608,470282240,424259584,46022656,90.2,40775680,495980544,59522,15217,2158620160,1281156096,477513,455421,19467,121670,265736
49,328.72,10.83,29.46,7832.92,193.28,0,0.54,0,0,0,2,1,2637774,1064492,347222,0,2592,0.25,2072051712,834748416,59.7,1059569664,572731392,439164928,881336320,26230784,413519872,26030080,89796608,470282240,424259584,46022656,90.2,40775680,495980544,59522,15231,2158620160,1281221632,477513,455423,19467,121672,265740
50,328.74,10.83,29.46,7834.89,193.28,0,0.54,0,0,0,2,1,2638166,1064705,347285,0,2592,0.25,2072051712,834752512,59.7,1059565568,572731392,439164928,881377280,26230784,413523968,26030080,89796608,470282240,424259584,46022656,90.2,40775680,495980544,59522,15231,2158620160,1281221632,477513,455423,19467,121672,265740
51,328.75,10.83,29.46,7836.87,193.28,0,0.54,0,0,0,1,1,2638608,1064910,347361,0,2592,0.25,2072051712,834752512,59.7,1059565568,572731392,439164928,881385472,26238976,413515776,26030080,89796608,470282240,424259584,46022656,90.2,40775680,495980544,59522,15233,2158620160,1281233920,477513,455440,19467,121673,265760
52,328.76,10.83,29.47,7838.83,193.29,0,0.54,0,0,0,1,1,2639011,1065162,347427,0,2592,0.23,2072051712,834752512,59.7,1059557376,572731392,439164928,881385472,26238976,413523968,26030080,89796608,470282240,424259584,46022656,90.2,40775680,495980544,59522,15233,2158620160,1281233920,477513,455440,19467,121673,265760
53,329.46,10.83,29.47,7840.14,193.29,0,0.54,0,0,0,69,1,2640012,1065776,347546,0,2592,0.23,2072051712,822177792,60.3,1072140288,560148480,439173120,898064384,26238976,413523968,26030080,89796608,470282240,424259584,46022656,90.2,40775680,495980544,59522,15233,2158620160,1281233920,477513,455440,19467,121673,265760
54,330.76,10.83,29.5,7840.81,193.29,0,0.54,0,0,0,32.3,1,2642854,1066172,347692,0,2592,0.21,2072051712,805408768,61.1,1088909312,543371264,439181312,898097152,26247168,413523968,26030080,89796608,470282240,424259584,46022656,90.2,40775680,495980544,59522,15376,2158620160,1282003968,477513,455590,19467,121677,265816
